ac_no,Candidate,Party,Total Votes,% of Votes,Rank
1,Umar Ali Khan,Samajwadi Party,134513,47.81,1
1,Naresh Saini,Bharatiya Janata Party,96633,34.34,2
1,Rais Malik,Bahujan Samaj Party,45075,16.02,3
1,Poonam Kamboj,Indian National Congress,1632,0.58,4
1,Sushil Kumar,Aam Aadmi Party,1162,0.41,5
1,NOTA,None of the Above,1117,0.4,6
1,Dharampal Singh,Independent,560,0.2,7
1,Ali Khan,Independent,409,0.15,8
1,Mo. IKram,Independent,272,0.1,9
2,MUKESH CHOUDHARY,Bharatiya Janata Party,104114,38.47,1
2,DR. DHARAM SINGH SAINI,Samajwadi Party,103799,38.35,2
2,SAHIL KHAN,Bahujan Samaj Party,55112,20.36,3
2,RIZWANA,All India Majlis-E-Ittehadul Muslimeen,3593,1.33,4
2,RANDHEER SINGH,Indian National Congress,1354,0.5,5
2,NOTA,None of the Above,710,0.26,6
2,SONU KUMAR,Aazad Samaj Party (Kanshi Ram),616,0.23,7
2,ATUL KUMAR,Inqalab Vikas Dal,420,0.16,8
2,NITIN KUMAR,Jai Maha Bharath Party,267,0.1,9
2,ASHISH TYAGI,Aam Aadmi Party,240,0.09,10
2,DEVENDRA CHAUHAN,Aamjan Ekta Party,218,0.08,11
2,NAHID LATIF,Lok Dal,209,0.08,12
3,RAJEEV GUMBER,Bharatiya Janata Party,143195,48.85,1
3,SANJAY GARG,Samajwadi Party,135761,46.32,2
3,Manish,Bahujan Samaj Party,8776,2.99,3
3,SUKHWINDER KAUR,Indian National Congress,2256,0.77,4
3,NOTA,None of the Above,753,0.26,5
3,MANSOOR AHMED,Aazad Samaj Party (Kanshi Ram),695,0.24,6
3,AVTAR SINGH,Akhand Bharat Vikas Party,398,0.14,7
3,RITA,Bahujan Mukti Party,360,0.12,8
3,USMAN MALIK,Aam Aadmi Party,287,0.1,9
3,SANJAY KUMAR,Independent,206,0.07,10
3,KAMROODDIN,Sanyukt Vikas Party,168,0.06,11
