AC No.,AC Name,District
1,Behat,Saharanpur
2,Nakur,Saharanpur
3,Saharanpur Nagar,Saharanpur
4,Saharanpur,Saharanpur
5,Deoband,Saharanpur
6,Rampur Maniharan,Saharanpur
7,Gangoh,Saharanpur
8,Kairana,Muzaffarnagar
9,Thana Bhawan,Muzaffarnagar
10,Shamli,Muzaffarnagar
11,Budhana,Muzaffarnagar
12,Charthawal,Muzaffarnagar
13,Purqazi,Muzaffarnagar
14,Muzaffar Nagar,Muzaffarnagar
15,Khatauli,Muzaffarnagar
16,Meerapur,Muzaffarnagar
17,Najibabad,Bijnor
18,Nagina,Bijnor
19,Barhapur,Bijnor
20,Dhampur,Bijnor
21,Nehtaur,Bijnor
22,Bijnor,Bijnor
23,Chandpur,Bijnor
24,Noorpur,Bijnor
25,Kanth,Moradabad
26,Thakurdwara,Moradabad
27,Moradabad Rural,Moradabad
28,Moradabad Nagar,Moradabad
29,Kundarki,Moradabad
30,Bilari,Moradabad
31,Chandausi,Moradabad
32,Asmoli,Moradabad
33,Sambhal,Moradabad
34,Suar,Rampur
35,Chamraua,Rampur
36,Bilaspur,Rampur
37,Rampur,Rampur
38,Milak,Rampur
39,Dhanaura,Jyotiba Phule Nagar
40,Naugawan Sadat,Jyotiba Phule Nagar
41,Amroha,Jyotiba Phule Nagar
42,Hasanpur,Jyotiba Phule Nagar
43,Siwalkhas,Meerut
44,Sardhana,Meerut
45,Hastinapur,Meerut
46,Kithore,Meerut
47,Meerut Cantt.,Meerut
48,Meerut,Meerut
49,Meerut South,Meerut
50,Chhaprauli,Baghpat
51,Baraut,Baghpat
52,Baghpat,Baghpat
53,Loni,Ghaziabad
54,Muradnagar,Ghaziabad
55,Sahibabad,Ghaziabad
56,Ghaziabad,Ghaziabad
57,Modi Nagar,Ghaziabad
58,Dhaulana,Ghaziabad
59,Hapur,Ghaziabad
60,Garhmukteshwar,Ghaziabad
61,Noida,Gautam Buddha Nagar
62,Dadri,Gautam Buddha Nagar
63,Jewar,Gautam Buddha Nagar
64,Sikandrabad,Bulandshahar
65,Bulandshahr,Bulandshahar
66,Syana,Bulandshahar
67,Anupshahr,Bulandshahar
68,Debai,Bulandshahar
69,Shikarpur,Bulandshahar
70,Khurja,Bulandshahar
71,Khair,Aligarh
72,Barauli,Aligarh
73,Atrauli,Aligarh
74,Chharra,Aligarh
75,Koil,Aligarh
76,Aligarh,Aligarh
77,Iglas,Aligarh
78,Hathras,Mahamaya Nagar
79,Sadabad,Mahamaya Nagar
80,Sikandra Rao,Mahamaya Nagar
81,Chhata,Mathura
82,Mant,Mathura
83,Goverdhan,Mathura
84,Mathura,Mathura
85,Baldev,Mathura
86,Etmadpur,Agra
87,Agra Cantt.,Agra
88,Agra South,Agra
89,Agra North,Agra
90,Agra Rural,Agra
91,Fatehpur Sikri,Agra
92,Kheragarh,Agra
93,Fatehabad,Agra
94,Bah,Agra
95,Tundla,Firozabad
96,Jasrana,Firozabad
97,Firozabad,Firozabad
98,Shikohabad,Firozabad
99,Sirsaganj,Firozabad
100,Kasganj,Etah
101,Amanpur,Etah
102,Patiyali,Etah
103,Aliganj,Etah
104,Etah,Etah
105,Marhara,Etah
106,Jalesar,Etah
107,Mainpuri,Mainpuri
108,Bhongaon,Mainpuri
109,Kishni,Mainpuri
110,Karhal,Mainpuri
111,Gunnaur,Budaun
112,Bisauli,Budaun
113,Sahaswan,Budaun
114,Bilsi,Budaun
115,Badaun,Budaun
116,Shekhupur,Budaun
117,Dataganj,Budaun
118,Baheri,Bareilly
119,Meerganj,Bareilly
120,Bhojipura,Bareilly
121,Nawabganj,Bareilly
122,Faridpur,Bareilly
123,Bithari Chainpur,Bareilly
124,Bareilly,Bareilly
125,Bareilly Cantt.,Bareilly
126,Aonla,Bareilly
127,Pilibhit,Pilibhit
128,Barkhera,Pilibhit
129,Puranpur,Pilibhit
130,Bisalpur,Pilibhit
131,Katra,Shahjahanpur
132,Jalalabad,Shahjahanpur
133,Tilhar,Shahjahanpur
134,Powayan,Shahjahanpur
135,Shahjahanpur,Shahjahanpur
136,Dadraul,Shahjahanpur
137,Palia,Kheri
138,Nighasan,Kheri
139,Gola Gokrannath,Kheri
140,Sri Nagar,Kheri
141,Dhaurahra,Kheri
142,Lakhimpur,Kheri
143,Kasta,Kheri
144,Mohammdi,Kheri
145,Maholi,Sitapur
146,Sitapur,Sitapur
